DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO MAGNESIO ANHIDRO,31.299999999999997,0,0,0,0,0,0,0,0,0,0.7825,0.626,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,ACIDO BORICO,1.1999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE COBALTO,0.09999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE COBRE,0.7999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE HIERRO,0.9999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE MANGANESO,0.6999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,MOLIBDATO DE SODIO,0.12999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE ZINC,0.5999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
18_CAL DESARROLLO,Calfer Desarrollo,E.D.T.A,24.569999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,DIÓXIDO SILICIO,2.8999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,TOTAL,,0.0,21.6861,6.1841,0.0,0.0,15.502,7.93,0.0,0.0,0.7825,5.7764,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.021,0.0
19_CALFER FLORACION,Calfer Floración,FOSFATO DE AMONIO (MAP),398.3880483585492,0,4.3823,4.3823,0,0,0,20.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE AMONIO (SAM),97.89706308810736,0,2.0558,2.0558,0,0,0,0,0,0,0,2.3495,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,NITRATO DE POTASIO (KNO3),232.59302220933372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO MAGNESIO,66.8979930602082,0,0,0,0,0,0,0,0,0,1.6724,1.338,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,ACIDO BORICO,1.1999640010799675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE COBALTO,0.0999970000899973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE COBRE,0.7999760007199784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE HIERRO,2.4999250022499324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE MANGANESO,1.699949001529954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,MOLIBDATO DE SODIO,0.1299961001169965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE ZINC,0.5999820005399837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
19_CALFER FLORACION,Calfer Floración,E.D.T.A,38.79883603491895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,DEXTROSA MONOHIDRATADA,151.8954431367059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,DIÓXIDO SILICIO,6.499805005849825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
