idInterno;codigoExterno;codigoOriginal;producto;clase;tipo;origen;archivado;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
PT0046;353;353;MF 18-8-5-4+EM;PT;G;csv;;0;18;0;0;0;0;8;5;4;0;0;0;0;0;0;0;0;0;0;0
PT0047;301;301;MF 19-1-2-1+EM;PT;G;csv;;0;19;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0
PT0048;304;304;MF 19-5-9-5+EM;PT;G;csv;;0;19;0;0;0;0;5;6;5;0;0;0;0;0;0;0;0;0;0;0
PT0049;384;384;MF 19-1-3 + MEORES;PT;G;csv;;0;19;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
PT0050;442;442;MF 19-3-18+EM;PT;G;csv;;0;19;0;0;0;0;3;18;0;0;0;0;0;0;0;0;0;0;0;0
PT0051;284;284;MF 20-17-18+TCM;PT;G;csv;;0;20;0;0;0;0;17;18;0;0;0;0;0;0;0;0;0;0;0;0
PT0052;529;529;MF 20-0-30-3S;PT;G;csv;;0;20;0;0;0;0;0;30;0;0;3;0;0;0;0;0;0;0;0;0
PT0053;519;519;MF 20-3-15+EM;PT;G;csv;;0;20;0;0;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0
PT0054;457;457;MF 20-6-0-5CA+EM;PT;G;csv;;0;20;0;0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0
PT0055;631;631;MF 20-8-10+EM;PT;G;csv;;0;20;0;0;0;0;8;10;0;0;0;0;0;0;0;0;0;0;0;0
PT0056;172;172;MF 21-1-2+EM;PT;G;csv;;0;21;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
PT0057;357;357;MF 21-5-10-6S+EM;PT;G;csv;;0;21;0;0;0;0;5;10;0;0;6;0;0;0;0;0;0;0;0;0
PT0058;415;415;MF 21-2-8+EM;PT;G;csv;;0;21;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0
PT0059;316;316;MF 21-3-8-3Ca+MEORES;PT;G;csv;;0;21;0;0;0;0;3;8;3;0;0;0;0;0;0;0;0;0;0;0
PT0060;307;307;MF 21-4-5-3Ca+MEORES;PT;G;csv;;0;21;0;0;0;0;4;5;3;0;0;0;0;0;0;0;0;0;0;0
PT0061;497;497;MF 21-5-10+EM;PT;G;csv;;0;21;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0
PT0062;471;471;MF 21-5-9+EM;PT;G;csv;;0;21;0;0;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0
PT0063;632;632;MF 21-9-9+EM;PT;G;csv;;0;21;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0
PT0064;315;315;MF 22 3 13 4S+MEORES;PT;G;csv;;0;21;0;0;0;0;3;13;0;0;4;0;0;0;0;0;0;0;0;0
PT0065;524;524;MF 22-0-25-3S;PT;G;csv;;0;22;0;0;0;0;0;25;0;0;3;0;0;0;0;0;0;0;0;0
PT0066;526;526;MF 22-0-3+EM;PT;G;csv;;0;22;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
PT0067;511;511;MF 22-4-8+EM;PT;G;csv;;0;22;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0
PT0068;525;525;MF 22-5-13+EM;PT;G;csv;;0;22;0;0;0;0;5;13;0;0;0;0;0;0;0;0;0;0;0;0
PT0069;456;456;MF 22-6-3+EM;PT;G;csv;;0;22;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0
PT0070;398;398;MF 22-6-7Ca+EM;PT;G;csv;;0;22;0;0;0;0;6;0;7;0;0;0;0;0;0;0;0;0;0;0
PT0071;633;633;MF 22-6-7+EM;PT;G;csv;;0;22;0;0;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;0
PT0072;634;634;MF 22-9-9+EM;PT;G;csv;;0;22;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0
PT0073;20;20;MF 23-3-20;PT;G;csv;;0;23;0;0;0;0;3;20;3;0;0;0;0;0;0;0;0;0;0;0
PT0074;618;618;MF 23 6 8 + EM;PT;G;csv;;0;23;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0
PT0075;394;394;MF 23-3-20+EM;PT;G;csv;;0;23;0;0;0;0;3;20;0;0;0;0;0;0;0;0;0;0;0;0
PT0076;506;506;MF 23-5-6+EM;PT;G;csv;;0;23;0;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0
PT0077;508;508;MF 23-6-8+EM;PT;G;csv;;0;23;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0
PT0078;308;308;MF 24-0-17+EM;PT;G;csv;;0;24;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
PT0079;174;174;MF 24-3-9-3+EM;PT;G;csv;;0;24;0;0;0;0;3;9;3;0;0;0;0;0;0;0;0;0;0;0
PT0080;348;348;MF 24-5-7-5S-3Ca+1CO;PT;G;csv;;1;24;0;0;0;0;5;7;3;0;5;0;0;0;0;0;0;0;0;0
PT0081;436;436;MF 24-0-2+EM;PT;G;csv;;0;24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
PT0082;532;532;MF 24-3-12+EM;PT;G;csv;;0;24;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0083;440;440;MF 24-4-11+EM;PT;G;csv;;0;24;0;0;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0
PT0084;473;473;MF 24-5-6+EM;PT;G;csv;;0;24;0;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0
PT0085;328;328;MF 25-0-15+EM;PT;G;csv;;0;25;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
PT0086;146;146;MF 25-0-17-4S+EM;PT;G;csv;;0;25;0;0;0;0;0;17;0;0;4;0;0;0;0;0;0;0;0;0
PT0087;148;148;MF 25-10-18+ MEORES;PT;G;csv;;0;25;0;0;0;0;10;18;0;0;0;0;0;0;0;0;0;0;0;0
PT0088;175;175;MF 25-10-18+EM;PT;G;csv;;0;25;0;0;0;0;10;18;0;0;0;0;0;0;0;0;0;0;0;0
PT0089;382;382;MF 25-15-2-3-2;PT;G;csv;;0;25;0;0;0;0;15;2;3;2;0;0;0;0;0;0;0;0;0;0
PT0090;82;82;MF 25-4-24;PT;G;csv;;0;25;0;0;0;0;4;24;0;0;0;0;0;0;0;0;0;0;0;0
PT0091;518;518;MF 25-17-1+EM;PT;G;csv;;0;25;0;0;0;0;17;1;0;0;0;0;0;0;0;0;0;0;0;0
PT0092;455;455;MF 25-1-13+EM;PT;G;csv;;0;25;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0
PT0093;509;509;MF 25-4-11+EM;PT;G;csv;;0;25;0;0;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0
PT0094;656;656;MF 25-4-17+EM;PT;G;csv;;0;25;0;0;0;0;4;17;0;0;0;0;0;0;0;0;0;0;0;0
PT0095;367;367;MF 25-5-0-8Ca+EM;PT;G;csv;;0;25;0;0;0;0;5;0;8;0;0;0;0;0;0;0;0;0;0;0
PT0096;533;533;MF 25-5-12+EM;PT;G;csv;;0;25;0;0;0;0;5;12;0;0;0;0;0;0;0;0;0;0;0;0
